"state","year","n_case_visits","pct_home_visit","n_home_visit","n_entered_care","n_fatality","fatality_rate","n_first_day_count","first_day_median_stay","pct_maltreat_in_care","n_in_care_check","pct_emotional","pct_medical","pct_neglect","pct_physical","pct_sexual","pct_traffic","pct_other_maltreat","pct_missing_maltreat","child_populaton","pct_child_poverty","two_minus_place_gt24","three_plus_place_gt24","missing_gt24","n_in_care_g24","two_minus_place_len_miss","three_plus_place_len_missing","missing_len_missing","n_in_care_len_missing","two_minus_place_lt12","three_plus_place_lt12","missing_lt12","n_in_care_lt12","two_minus_place_lt24","three_plus_place_lt24","missing_lt24","n_in_care_lt24"
"Hawaii",2018,2106,60,1262,1224,1,0.33,1506,12.2,0.11,2730,0.4,1.1,13.2,8.3,5.8,0.1,93.2,0,303049,11.9,51.9,48.1,0,626,100,0,0,1,85.6,10,4.4,1363,78.8,21.2,0,740
"Hawaii",2019,2143,58,1238,1272,4,1.34,1603,12.2,0.59,2875,1,0.8,16.4,10.6,5.9,1.3,92.3,0,299419,12.4,57.9,42.1,0,684,100,0,0,1,87.6,8.9,3.5,1415,73.8,26.2,0,775
"Hawaii",2020,15033,63,9462,1029,0,0,1653,12.2,0.26,2682,2.1,0.8,21.6,9.9,7,1.3,93,0,309553,10.8,57,43,0,698,100,0,0,5,87,11.2,1.8,1177,77.7,22.3,0,802
"Hawaii",2021,13786,72,9988,1037,2,0.66,1519,13.1,0.63,2556,0.3,0.8,20.1,5.9,5.5,2,96.1,0,304399,13.6,57.4,42.6,0,662,100,0,0,5,87.7,10.2,2.1,1147,78.8,21,0.1,742
"Idaho",2017,16889,78,13113,1249,10,2.26,1438,9.4,0.04,2687,NA,0.5,80.3,22.1,4.3,NA,0.7,0,443043,15.3,40.9,59.1,0,457,0,0,0,0,87.6,12.4,0,1452,68.4,31.6,0,778
"Idaho",2018,18075,76,13699,1419,3,0.67,1537,10.4,0,2956,NA,0.5,82.3,19.6,5.4,0.1,0.5,0,445134,14.3,43.9,56.1,0,529,0,0,0,0,85.1,14.9,0,1656,65.9,34.1,0,771
"Idaho",2019,19595,76,14855,1322,3,0.67,1719,9.6,0.07,3041,NA,0.6,80.1,20.2,6.9,0.1,0.4,0,448116,13.2,44.5,55.5,0,584,100,0,0,4,83,16.9,0.1,1577,63,37,0,876
"Idaho",2020,16627,68,11356,1081,10,2.16,1566,11.9,0.08,2647,NA,0.3,55,43.8,8.2,0.1,0,0,462389,11.6,38.8,61.2,0,583,100,0,0,3,84.5,15.5,0,1278,63.9,36.1,0,783
"Idaho",2021,16099,74,11974,1346,3,0.64,1347,12.8,0.22,2693,NA,0.3,78.2,19.4,10.2,0.3,0.3,0,469026,13.1,36,64,0,572,0,100,0,2,84.9,15.1,0,1493,65.2,34.8,0,626
"Illinois",2017,151837,97,147095,4843,74,2.55,14879,23.3,0.75,19722,0.2,2.3,80,20.4,15,NA,0,0,2897055,17,30.4,69.6,0,10477,100,0,0,5,76.9,22.9,0.1,5021,60.3,39.7,0,4219
"Illinois",2018,150936,97,146225,5751,70,2.45,15367,23.2,0.6,21118,0.1,2.2,81.4,19.3,15.5,NA,0,0,2857349,16.2,30.7,69.3,0,10457,85.7,0,14.3,14,76.3,23.5,0.1,5994,61.3,38.7,0.1,4653
"Illinois",2019,167253,97,161625,6709,106,3.76,16323,20.6,0.72,23032,0.2,2.3,85,18.8,14.4,NA,0.2,0,2817312,15.7,34.8,65.1,0,10576,91.7,4.2,4.2,48,81.6,18.2,0.2,7056,63.4,36.6,0,5352
"Illinois",2020,182186,97,176442,7837,102,3.57,18059,19.1,0.84,25896,0.2,1.9,87.3,18,14.1,NA,0.2,0,2859985,13.8,38.2,61.7,0.1,11331,91.1,4.4,4.4,45,84.9,14.8,0.3,8210,65.4,34.5,0.1,6310
"Illinois",2021,201197,97,194411,6944,89,3.17,20333,18.7,0.77,27277,0.2,1.9,90.3,16.4,12.5,NA,0.1,0,2803224,16,43.4,56.5,0.1,12866,77.9,1.4,20.7,140,84.4,15.1,0.5,7333,68.3,31.5,0.2,6938
"Indiana",2017,177415,81,143670,12826,78,4.96,19255,10.8,0.26,32081,NA,NA,95.5,6.5,9.4,NA,0,0,1573905,18.4,49.7,50.3,0,7475,88.9,11.1,0,27,89.5,10.4,0,15553,72.9,27,0,9026
"Indiana",2018,198084,82,161884,10441,80,5.09,20252,12,0.2,30693,NA,NA,93.6,7,10.7,0.1,0,0,1572404,18,50.5,49.5,0,8435,90.9,9.1,0,22,89,10.9,0.1,13349,73.4,26.6,0,8887
