"state","year","n_case_visits","pct_home_visit","n_home_visit","n_entered_care","n_fatality","fatality_rate","n_first_day_count","first_day_median_stay","pct_maltreat_in_care","pct_emotional","pct_medical","pct_neglect","pct_physical","pct_sexual","pct_traffic","pct_other_maltreat","pct_missing_maltreat","child_populaton","pct_child_poverty","length_in_care","two_minus_place","three_plus_place","missing_place","n_in_care_place","n_in_care_total","two_minus_place_all","three_plus_place_all","region"
"Arizona",2018,153110,81,123826,9173,48,2.93,14736,12.2,0.12,0.1,NA,97.2,8.2,4,NA,0,0,1638657,20.1,"less than 12m",83.5,13.3,3.2,10826,23909,0.686397172612824,0.290477728052198,"West"
"Arizona",2018,153110,81,123826,9173,48,2.93,14736,12.2,0.12,0.1,NA,97.2,8.2,4,NA,0,0,1638657,20.1,"between 12 and 24m",68.3,30.4,1.3,7311,23909,0.686397172612824,0.290477728052198,"West"
"Arizona",2019,144209,82,117728,9607,33,2.01,13082,11.7,0.12,0.1,NA,97.2,8.1,3.9,NA,0,0,1641727,19.1,"greater than 24m",40.3,57.6,2.2,5030,22689,0.693184274317951,0.278310370664199,"West"
"Arizona",2019,144209,82,117728,9607,33,2.01,13082,11.7,0.12,0.1,NA,97.2,8.1,3.9,NA,0,0,1641727,19.1,"time in care missing",69.6,0,30.4,46,22689,0.693184274317951,0.278310370664199,"West"
"Arizona",2019,144209,82,117728,9607,33,2.01,13082,11.7,0.12,0.1,NA,97.2,8.1,3.9,NA,0,0,1641727,19.1,"less than 12m",83.6,13,3.4,11095,22689,0.693184274317951,0.278310370664199,"West"
"Arizona",2019,144209,82,117728,9607,33,2.01,13082,11.7,0.12,0.1,NA,97.2,8.1,3.9,NA,0,0,1641727,19.1,"between 12 and 24m",67.4,30.3,2.2,6518,22689,0.693184274317951,0.278310370664199,"West"
"Arizona",2020,144339,86,123992,9365,18,1.11,12893,10.6,0.07,0.1,NA,97,8.7,3.9,NA,0,0,1615693,17.6,"greater than 24m",40,58.4,1.6,4554,22255,0.702329274320378,0.276093686811952,"West"
"Arizona",2020,144339,86,123992,9365,18,1.11,12893,10.6,0.07,0.1,NA,97,8.7,3.9,NA,0,0,1615693,17.6,"time in care missing",77.8,0,22.2,36,22255,0.702329274320378,0.276093686811952,"West"
"Arizona",2020,144339,86,123992,9365,18,1.11,12893,10.6,0.07,0.1,NA,97,8.7,3.9,NA,0,0,1615693,17.6,"less than 12m",83.4,13.6,3,10947,22255,0.702329274320378,0.276093686811952,"West"
"Arizona",2020,144339,86,123992,9365,18,1.11,12893,10.6,0.07,0.1,NA,97,8.7,3.9,NA,0,0,1615693,17.6,"between 12 and 24m",69.2,29.7,1.1,6721,22255,0.702329274320378,0.276093686811952,"West"
"Arizona",2021,2561,85,2173,8368,NA,NA,13901,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1613988,17.3,"greater than 24m",24.8,74.9,0.3,5655,22269,0.616679779065068,0.352551259598545,"West"
"Arizona",2021,2561,85,2173,8368,NA,NA,13901,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1613988,17.3,"time in care missing",90.5,4.8,4.8,21,22269,0.616679779065068,0.352551259598545,"West"
"Arizona",2021,2561,85,2173,8368,NA,NA,13901,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1613988,17.3,"less than 12m",80.5,12.9,6.6,9801,22269,0.616679779065068,0.352551259598545,"West"
"Arizona",2021,2561,85,2173,8368,NA,NA,13901,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1613988,17.3,"between 12 and 24m",65.1,34.6,0.3,6792,22269,0.616679779065068,0.352551259598545,"West"
"Arkansas",2017,43237,91,39561,3778,37,5.24,4767,9.1,0.23,1.7,15.7,56.7,22.5,19.7,NA,0,0,705952,22.5,"greater than 24m",23.6,76.4,0,1512,8545,0.576256641310708,0.423347337624342,"South"
"Arkansas",2017,43237,91,39561,3778,37,5.24,4767,9.1,0.23,1.7,15.7,56.7,22.5,19.7,NA,0,0,705952,22.5,"time in care missing",66.7,0,33.3,3,8545,0.576256641310708,0.423347337624342,"South"
"Arkansas",2017,43237,91,39561,3778,37,5.24,4767,9.1,0.23,1.7,15.7,56.7,22.5,19.7,NA,0,0,705952,22.5,"less than 12m",74.1,25.9,0,4645,8545,0.576256641310708,0.423347337624342,"South"
